fargo,hobbit1,hobbit3,lotr1,lotr2,lotr3,pirates1,pirates2,pirates3,pirates4,reservoir_dogs,rogue_one,se7en,sw1,sw2,sw3,sw4,sw5,sw6,sw7,the_departed,the_usual_suspects
1,1,1,2,2,0,4,1,1,1,5,5,3,2,0,0,1,2,2,0,4,2
0,1,6,0,10,6,0,0,0,0,0,4,0,0,1,3,3,2,1,0,3,0
1,2,1,0,0,0,0,0,0,0,6,0,6,0,0,0,3,2,3,0,8,8
0,5,1,2,2,4,0,0,2,2,0,2,0,3,3,6,2,2,1,2,0,1
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,14,2,1,12,1,0
5,1,0,1,0,0,3,2,0,0,2,1,2,1,0,1,1,5,1,4,7,2
0,8,3,0,0,0,0,0,0,0,0,0,0,1,7,8,0,9,1,0,2,0
0,3,1,0,3,1,1,0,0,0,9,3,2,3,0,0,1,2,0,0,5,5
0,4,2,4,4,3,3,3,5,5,0,0,2,0,1,1,0,0,0,0,1,1
3,2,0,0,1,0,4,1,1,1,8,2,2,0,1,3,1,0,0,9,0,0
1,0,1,0,0,0,1,2,0,0,2,4,6,0,1,3,2,1,1,3,2,9
1,1,0,1,4,1,2,2,3,3,1,0,4,5,2,1,1,1,0,0,5,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,0,0,0
0,0,0,1,2,1,5,0,2,2,1,4,1,3,4,6,2,3,0,1,1,0
0,0,1,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,21,6
1,0,0,0,0,0,0,0,0,0,9,0,15,0,0,0,0,0,2,1,6,5
0,3,1,1,1,1,0,2,2,2,2,3,3,5,1,1,4,4,2,1,0,0
0,2,4,0,18,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,1,0
0,2,1,2,2,0,0,0,0,0,0,7,0,3,1,3,3,3,3,7,0,1
2,3,2,1,0,1,4,0,0,0,8,1,3,0,1,0,1,3,0,0,4,4
0,5,2,0,1,0,5,4,5,5,0,0,1,1,1,1,2,2,1,0,2,0
0,2,1,1,3,1,1,1,2,2,5,0,5,2,3,1,0,1,1,3,3,0
0,5,2,0,3,5,2,1,1,1,2,3,1,0,1,0,0,0,0,0,7,4
1,2,1,1,5,4,1,1,3,3,0,0,1,3,2,1,1,2,2,1,3,0
0,16,1,0,8,0,0,0,0,0,0,0,0,0,0,2,0,4,1,6,0,0
0,0,0,0,1,1,4,0,0,0,0,5,0,2,1,4,8,8,2,2,0,0
0,1,4,2,2,1,2,1,2,2,0,5,1,2,2,1,0,0,0,3,5,1
1,3,0,0,3,1,1,0,1,1,2,0,0,3,2,4,3,3,2,1,3,3
0,0,0,0,0,0,0,1,0,0,2,14,0,1,4,4,6,0,5,0,0,0
0,2,0,0,0,0,2,3,0,0,2,1,1,1,2,3,4,5,6,3,2,0
0,0,0,2,3,1,2,2,1,1,1,2,5,2,1,0,2,1,1,0,3,7
2,0,1,0,0,1,1,0,0,0,8,3,1,1,2,0,4,1,1,1,6,4
0,1,3,1,2,1,3,1,0,0,3,1,1,2,2,1,6,3,2,1,3,0
3,1,1,0,1,1,4,1,0,0,6,0,3,0,2,0,2,0,0,1,9,2
0,1,0,0,0,0,0,0,1,1,1,2,3,5,3,1,1,1,1,3,9,4
0,0,0,2,0,0,0,0,0,0,0,1,0,6,5,22,1,0,0,0,0,0
0,2,3,1,0,0,5,1,4,4,2,2,3,0,0,1,0,1,1,0,4,3
1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,16,0,0,17,0,0,0
1,0,2,0,3,3,1,3,0,0,0,2,0,0,3,1,4,2,5,3,2,2
1,1,0,1,3,0,3,1,0,0,3,3,4,0,1,0,4,0,1,2,6,3
1,0,0,0,3,0,3,1,2,2,0,1,3,1,3,6,7,0,0,1,2,1
1,2,2,2,1,2,1,1,1,1,2,0,2,1,2,3,5,5,0,1,1,0
0,1,0,0,0,2,5,1,2,2,0,2,0,1,0,3,8,2,2,4,1,0
0,3,1,0,3,2,0,0,1,1,2,2,1,1,2,2,2,0,1,5,7,0
0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,15,2,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,1,7,0,9,3,2,0
0,0,0,0,0,0,15,0,1,1,0,3,0,2,1,2,0,4,7,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,0,3
0,5,0,0,0,0,3,2,0,0,5,3,3,1,3,1,2,4,1,0,2,1
0,0,2,0,1,0,0,0,0,0,0,10,1,3,2,5,2,3,1,4,1,1
0,4,5,0,5,0,0,0,0,0,0,0,0,0,4,5,0,5,3,4,1,0
0,2,0,0,2,1,0,1,1,1,0,0,0,4,9,12,1,0,1,0,0,1
1,0,1,3,5,2,1,0,0,0,9,0,3,1,0,0,0,0,3,4,2,0
4,3,0,0,0,1,1,0,1,1,3,3,1,3,4,0,2,3,0,0,2,3
0,1,1,1,5,3,0,0,1,1,0,2,0,2,0,3,4,2,1,6,0,2
0,1,0,0,1,0,2,4,0,0,9,2,1,0,0,1,0,1,0,0,1,12
0,2,2,1,0,1,3,2,1,1,2,2,3,0,2,2,1,0,4,1,1,4
1,3,0,0,0,0,5,2,0,0,1,2,0,2,3,3,0,0,3,3,4,3
3,1,0,2,0,0,3,2,4,4,1,3,1,0,1,0,3,0,0,0,2,5
2,6,0,0,6,4,2,5,0,0,0,0,1,0,0,0,0,4,1,0,4,0
1,0,0,0,0,0,2,1,1,1,7,0,12,0,0,0,0,0,1,0,7,2
0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,0,3,0,5,1,1,1,2,3,2,1,0,0,3,2,2,3,2,1
1,5,1,1,3,0,5,2,0,0,1,2,0,3,5,2,1,1,0,0,1,0
0,5,0,0,5,0,0,1,0,0,0,2,1,3,0,2,6,4,2,0,1,2
0,2,3,0,1,0,2,3,1,1,1,1,5,2,3,3,3,1,0,0,0,2
3,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,17,5
1,1,1,0,0,0,0,1,0,0,14,4,2,0,2,0,2,0,0,0,4,2
0,6,5,0,7,3,3,0,0,0,0,3,0,0,1,2,1,1,0,1,1,0
0,7,1,6,2,0,2,2,0,0,0,0,0,1,2,2,0,4,3,2,0,0
1,2,2,1,0,0,2,2,0,0,5,0,5,0,3,0,3,1,0,1,2,4
0,0,0,0,0,0,9,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,3,6,15,0,0,0
0,4,1,0,1,0,0,4,0,0,1,1,3,7,2,2,3,2,0,0,0,2
0,0,2,0,4,4,0,0,1,1,2,4,1,0,3,2,0,0,0,0,8,1
0,5,4,1,1,1,3,0,0,0,1,1,5,1,4,0,2,0,1,1,1,1
0,5,1,0,2,0,4,2,0,0,3,0,4,1,3,1,0,0,0,2,4,1
0,0,0,0,0,0,3,0,0,0,0,3,0,6,0,2,10,3,5,0,0,1
0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,0,1,5,1,3,3,1,2,5,0,0,0,0,2,1,0,2,1
0,2,0,0,1,1,3,1,1,1,1,6,0,0,0,0,10,1,4,0,1,0
0,3,3,0,0,1,2,2,2,2,2,2,0,3,1,3,4,0,0,1,0,2
0,0,0,0,3,0,1,0,2,2,0,0,0,2,2,1,8,11,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,8,5,1,0,0,0
0,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,2,0
0,4,0,1,5,1,2,0,0,0,2,1,0,1,0,0,0,1,2,0,7,6
0,1,1,2,4,1,1,6,2,2,0,0,1,3,1,1,0,5,1,0,0,0
1,0,1,0,1,1,1,2,1,1,3,2,3,2,0,1,1,4,0,3,4,0
1,2,0,0,0,0,4,0,2,2,4,0,1,1,0,1,1,1,1,4,4,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,0,0,0
2,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,8,4,3,2,0,1
1,1,1,1,0,2,2,0,0,0,3,1,2,1,1,2,2,1,1,4,4,2
0,0,0,0,0,0,14,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,3,0,0,0,1,1,0,4,0,3,7,1,0,2,1,1,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
0,4,0,1,0,0,0,0,0,0,0,1,0,1,6,9,2,4,4,0,0,0
0,1,0,0,0,1,1,0,2,2,2,2,3,0,2,0,5,0,1,1,9,0
8,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,10,4
0,2,3,0,2,0,1,0,0,0,0,0,0,8,4,3,1,3,3,0,0,1
0,1,0,0,3,0,1,1,3,3,1,0,1,0,3,2,6,1,3,1,1,0
0,2,3,0,3,0,1,0,2,2,4,0,4,1,1,1,1,0,0,1,2,3
0,1,0,1,1,1,2,1,6,6,1,0,1,1,0,0,2,2,3,1,0,1
0,3,1,0,2,1,1,2,1,1,2,1,1,1,4,1,1,1,0,2,4,1
0,7,0,2,12,4,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,4,7,8,1,2,0,0
0,3,0,1,1,3,3,2,1,1,1,1,2,4,2,0,2,0,0,1,3,0
0,0,0,0,1,0,0,0,0,0,0,2,0,5,0,4,4,1,1,13,0,0
0,1,0,0,0,0,0,0,0,0,3,5,1,3,2,0,2,6,0,3,3,2
1,1,1,0,4,1,3,1,0,0,1,0,2,2,2,1,2,1,0,0,6,2
0,0,1,0,0,0,0,1,0,0,7,3,0,1,0,0,2,0,1,0,9,6
0,2,0,0,0,1,5,3,1,1,0,1,3,2,1,1,0,3,0,1,5,1
0,2,0,0,5,0,1,0,1,1,1,0,1,3,4,2,2,1,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,16,0,0,0
0,5,4,1,1,1,1,0,0,0,0,6,1,0,3,2,0,2,0,4,0,0
2,1,0,0,0,2,2,0,1,1,4,1,1,3,2,1,4,1,1,0,1,3
1,0,0,0,0,0,0,0,0,0,1,4,1,1,8,5,0,4,2,0,2,2
3,1,1,0,1,0,6,4,4,4,3,0,2,0,0,0,0,0,0,0,1,1
0,2,0,1,3,0,3,1,0,0,5,3,1,0,4,2,0,1,1,1,1,1
0,2,0,1,0,0,0,0,0,0,1,14,1,1,0,0,10,0,0,0,0,0
0,1,0,0,0,0,5,0,0,0,3,3,1,1,0,1,2,0,1,0,3,9
0,0,0,1,1,0,0,0,1,1,1,0,0,4,7,4,3,3,2,1,1,0
0,1,5,0,2,1,2,3,0,0,3,1,1,1,0,0,2,1,1,2,1,3
0,1,1,0,0,0,0,0,0,0,0,4,0,2,0,1,10,3,7,1,0,0
0,1,0,3,0,1,1,2,1,1,2,0,4,0,0,0,1,2,0,0,5,6
0,0,0,0,2,0,1,0,1,1,0,6,0,0,1,2,1,8,2,2,3,0
0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,5,10,2,0,0
12,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,9,0,0,0
0,2,1,0,1,0,2,1,0,0,2,2,1,1,5,1,1,4,0,3,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,1,3,2,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,0,1,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,4,4,5,1,7,0,0
0,1,1,0,1,0,4,1,1,1,2,0,2,0,0,1,1,4,0,1,3,5
0,2,1,0,0,0,3,1,1,1,0,2,5,1,4,1,3,0,1,0,2,1
0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,3,1,4,1,2,2,0,2,3,0,0,1,1,0,0,0,3,3
0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,2,9,0,2,2,0,0
1,1,2,0,0,0,0,0,0,0,0,2,3,5,6,6,1,1,0,0,1,0
0,0,0,0,3,0,0,0,0,0,0,0,1,2,6,3,2,3,7,0,2,0
0,2,2,0,8,5,1,0,0,0,8,0,0,0,0,0,0,0,0,1,1,1
0,12,10,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,9,0,6,3,3,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0
0,3,0,1,0,2,1,1,0,0,4,0,0,1,1,5,2,2,2,1,1,2
1,5,1,1,1,1,3,1,0,0,1,2,0,0,1,1,0,0,1,1,5,3
0,4,3,0,3,1,1,1,0,0,0,0,0,3,2,0,3,1,1,1,3,1
2,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,13,7
0,2,1,2,1,1,1,0,0,0,3,1,0,0,3,3,2,2,1,1,1,3
0,1,0,2,3,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,10,1
0,1,0,1,1,0,7,0,0,0,1,1,0,3,1,4,2,0,3,1,0,2
1,2,0,2,1,0,3,1,0,0,1,1,3,1,1,1,0,1,1,1,5,2
0,2,3,0,1,0,3,1,2,2,2,2,1,0,1,1,1,3,0,2,0,1
0,1,3,0,3,0,1,1,1,1,0,0,0,2,2,1,2,0,1,3,0,6
0,0,1,0,0,0,1,0,1,1,0,2,1,3,0,2,4,2,1,0,7,2
0,0,2,1,4,3,0,0,0,0,0,0,1,1,1,1,3,3,1,1,6,0
0,3,1,3,3,0,2,2,1,1,0,1,1,0,0,3,2,2,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
2,4,1,1,2,3,1,1,1,1,0,1,2,3,0,0,0,2,0,1,1,0
0,1,4,1,2,0,4,2,1,1,2,0,2,3,1,1,0,1,0,0,0,1
1,2,0,0,2,8,9,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
0,3,1,1,0,5,0,2,0,0,0,0,0,2,3,0,1,0,0,0,3,6
0,6,4,0,3,3,0,0,1,1,0,0,0,1,4,2,1,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,14,0,1,0,0,0,0,0,0,0,7,4
0,0,0,0,0,0,2,0,0,0,17,0,0,2,1,0,1,0,0,4,0,0
0,0,1,1,2,1,2,0,3,3,0,4,0,0,3,1,1,0,2,2,0,1
0,0,0,0,0,0,2,0,0,0,0,2,0,3,1,1,11,1,1,5,0,0
1,2,0,2,3,2,1,2,3,3,1,0,1,0,1,1,1,0,0,1,1,1
0,2,0,1,1,4,3,0,1,1,0,2,1,0,5,2,1,1,0,0,1,1
0,6,1,2,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4,0,0,1,1,0,18,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
3,2,2,1,3,1,1,1,1,1,3,0,2,0,0,0,0,0,1,0,4,1
0,2,1,0,0,0,2,0,0,0,0,0,5,1,1,0,1,0,0,1,5,8
0,0,1,0,0,2,1,2,5,5,0,1,2,0,1,1,0,1,2,0,1,2
1,1,3,2,2,2,0,2,2,2,0,1,2,0,1,1,2,0,0,1,1,0
0,1,1,0,1,0,0,1,1,1,4,2,3,2,1,1,1,0,0,0,1,5
0,3,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,2,4,8,3
0,0,0,0,0,0,1,0,0,0,7,1,0,6,3,5,1,0,1,0,1,0
0,3,2,1,6,7,0,0,0,0,1,2,0,1,1,0,1,0,1,0,0,0
0,2,0,6,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,2,0,0,1,1,1,1,4,2,2,2,4,1,3,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,23,0,0
1,2,0,0,0,2,2,0,2,2,0,0,5,0,4,0,1,0,1,2,2,0
0,2,0,1,0,1,0,1,0,0,7,0,3,0,2,2,2,1,0,0,1,3
0,3,1,0,1,1,2,2,0,0,0,1,0,0,0,3,1,2,4,1,4,0
1,2,3,0,6,2,2,1,1,1,5,0,0,0,0,1,0,0,0,0,1,0
0,5,5,2,2,0,0,0,2,2,0,0,0,1,3,0,2,1,0,0,1,0
1,0,0,3,0,0,0,0,1,1,8,1,3,0,1,0,1,3,0,0,0,3
4,4,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,6,6
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,15
0,1,0,0,1,1,5,0,1,1,0,1,0,0,2,2,1,6,2,0,0,2
6,0,0,0,0,0,0,1,0,0,1,0,7,0,2,2,0,0,0,0,4,3
0,0,2,2,3,1,1,0,2,2,0,2,0,0,2,2,0,2,5,0,0,0
0,0,4,0,0,1,0,0,0,0,0,3,0,3,1,2,3,3,2,3,1,0
0,0,0,0,0,0,1,0,0,0,0,6,0,0,2,0,6,3,0,5,3,0
0,5,1,4,4,0,0,0,3,3,0,1,0,1,1,0,0,0,0,1,2,0
0,3,0,0,1,1,0,4,3,3,1,2,1,0,0,1,1,0,0,1,2,2
0,13,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,2,2,7,2,0,0,1,0,4,2,0,0,2,1
0,1,3,0,0,1,3,1,1,1,0,1,0,1,1,1,3,5,1,1,1,0
0,8,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,12,0,0
0,0,0,0,0,0,12,3,4,4,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,2,1,0,0,2,1,1,0,1,5,2,0,1,1,1,0,0,3,1
1,1,1,0,2,2,1,1,1,1,2,1,4,0,2,2,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,17,0,0,0
0,1,2,0,2,0,0,0,1,1,0,0,0,0,3,1,4,3,0,0,3,4
0,7,0,1,2,1,1,2,0,0,0,3,1,2,0,1,3,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,7,0,5,2,5,0,0
6,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,1,0,10,1
0,8,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,3,0,0,3,3,3,0,2,1,0,4,0,0,0,0,0,1,1
0,1,0,0,3,0,0,1,1,1,4,0,1,3,0,0,4,2,0,2,2,0
0,1,3,1,6,1,1,1,1,1,3,0,0,0,1,0,0,0,0,3,1,1
0,7,1,2,2,1,6,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,0,1,1,1,0,0,0,1,3,1,9,0,1,3,0,0,1,0,0
1,0,0,0,0,0,2,0,2,2,4,1,2,2,0,0,0,0,0,2,7,0
0,0,2,0,2,0,1,0,0,0,1,2,0,2,1,0,7,0,2,2,3,0
0,3,1,1,3,3,1,1,0,0,0,6,2,1,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,3,0,1,0
0,0,4,0,10,2,1,0,0,0,2,0,1,0,1,0,0,1,0,1,1,0
1,0,0,0,1,0,0,0,0,0,0,4,0,2,0,2,8,0,2,3,0,1
1,2,0,1,0,3,0,5,3,3,0,0,1,1,1,0,0,0,0,0,0,3
0,0,8,0,9,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1
0,0,7,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6
0,6,3,0,5,0,3,0,0,0,1,0,2,0,0,0,0,3,0,0,1,0
0,1,0,0,2,1,1,4,1,1,0,0,1,2,2,1,1,1,3,0,2,0
0,0,0,0,2,1,2,0,0,0,0,2,1,1,4,1,1,0,3,1,0,5
0,0,0,0,0,0,3,6,2,2,0,0,0,0,0,0,0,0,0,0,1,10
0,0,0,0,0,0,6,2,3,3,0,0,0,1,0,0,6,0,0,3,0,0
0,2,0,0,4,2,1,1,0,0,0,2,0,2,1,3,2,3,1,0,0,0
2,5,0,5,2,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,2,0,1,1,1,4,1,0,2,2,3,4,0,0,2,0
0,2,4,1,5,3,1,2,0,0,0,0,1,0,3,0,0,0,0,0,1,1
0,4,0,1,0,0,0,0,0,0,0,0,1,10,0,1,1,0,0,1,2,3
1,2,1,0,1,1,3,1,0,0,0,1,2,1,3,1,0,0,0,1,3,2
0,2,0,0,0,0,1,1,0,0,7,0,2,2,1,0,2,1,1,0,3,1
0,1,0,0,3,0,1,1,2,2,1,1,1,1,2,2,1,1,0,3,1,0
0,1,1,0,4,2,2,0,1,1,0,1,2,0,1,1,1,0,2,0,1,3
0,4,0,4,2,2,1,0,0,0,0,0,0,1,1,1,2,1,2,3,0,0
1,0,0,0,0,0,2,0,0,0,0,4,1,2,1,1,2,2,4,4,0,0
1,1,0,0,0,0,0,0,0,0,6,1,5,2,1,1,0,0,0,0,2,3
0,1,1,0,2,4,1,0,0,0,0,2,4,1,1,0,0,2,1,1,0,2
0,4,0,1,1,0,1,3,1,1,0,0,0,6,1,2,1,0,1,0,0,0
0,0,0,0,0,0,7,0,0,0,1,1,2,1,0,0,5,0,0,0,2,4
0,0,0,0,5,1,1,1,3,3,0,0,0,1,1,1,2,2,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
0,2,1,1,2,1,1,0,1,1,1,0,3,1,1,1,2,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,4,2,7,1,2,0,0
0,2,2,1,3,1,2,0,0,0,0,1,1,2,0,1,1,2,2,0,2,0
0,0,0,1,2,0,1,3,0,0,1,1,2,2,3,0,2,0,0,0,4,1
6,8,0,1,0,0,1,2,0,0,0,1,2,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,8,2,2,2,0,0
0,0,0,1,1,0,0,0,0,0,0,11,0,1,1,0,2,1,5,0,0,0
8,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,1,0,0,0,0,3
2,2,1,1,1,0,0,0,0,0,0,0,4,2,2,0,1,2,0,1,2,2
0,2,1,1,0,1,2,1,2,2,0,3,3,0,0,0,3,0,0,1,1,0
0,0,0,0,0,0,3,0,0,0,0,6,0,3,3,3,2,0,1,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,4,4,3,1,0
0,1,1,0,3,1,2,0,2,2,0,2,0,1,1,1,0,3,2,0,1,0
0,3,2,0,2,1,5,1,3,3,0,2,0,0,0,0,0,0,1,0,0,0
0,0,1,0,2,0,1,2,0,0,0,0,0,4,5,3,1,3,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,3,6,0
0,5,3,0,7,1,0,1,0,0,1,0,0,0,0,2,0,0,1,1,0,1
0,0,0,0,1,1,0,0,0,0,0,1,3,1,1,0,4,11,0,0,0,0
0,2,0,0,3,4,0,1,4,4,1,0,0,0,0,1,0,0,1,1,0,1
0,2,11,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,3,1,1,1,2,2,1,1,1,1,0,0,1,2,2,0,1,0
